product_a,product_b,times_bought_together
Mixer Treat,Lamp Area,1
Mixer Treat,Science Book Word,1
Sofa Receive,Chair Improve,1
Sofa Receive,Chair Always,1
Sofa Receive,Dictionary Most,1
Lamp Small,Lamp Word,1
Lamp Small,Novel Since,1
Lamp Small,Novel Enough,1
Table Drug,Chair College,1
Table Drug,Lamp If,1
Mixer Color,Chair Always,1
Mixer Color,Dictionary Possible,1
Mixer Color,Science Book Often,1
Mixer Color,Science Book Operation,1
Mixer Color,Novel Note,1
Lamp Black,Mixer Attack,1
Lamp Difficult,Mixer Benefit,1
Lamp Difficult,Novel Happen,1
Lamp Institution,Mixer Suddenly,1
Lamp Institution,Lamp Word,1
Mixer Stock,Science Book A,1
Lamp Ground,Lamp Area,1
Lamp Ground,Dictionary Name,1
Lamp Ground,Comics Operation,1
Lamp Ground,Comics Drug,1
Mixer Oil,Novel Place,1
Chair Same,Comics Summer,1
Chair Same,Comics Grow,1
Mixer Return,Lamp Hospital,1
Mixer Return,Biography Rule,1
Lamp Area,Comics Mrs,1
Lamp Area,Dictionary Who,1
Lamp Area,Biography But,1
Lamp Area,Comics Drug,1
Chair Improve,Biography Factor,1
Table Provide,Biography National,1
Sofa Accept,Comics Team,1
Sofa Accept,Dictionary Level,1
Lamp Summer,Comics Summer,1
Mixer Benefit,Biography Staff,1
Mixer Benefit,Comics Summer,1
Mixer Benefit,Biography National,1
Mixer Benefit,Comics Operation,1
Mixer Benefit,Dictionary Order,1
Mixer Benefit,Comics Either,1
Mixer Benefit,Dictionary Science,1
Lamp Than,Dictionary To,1
Sofa Plan,Biography But,1
Sofa Plan,Biography Evening,1
Sofa Everyone,Biography Factor,1
Chair Doctor,Novel Fact,1
Sofa Base,Lamp Institution,1
Lamp Politics,Dictionary Represent,1
Chair Always,Science Book Word,1
Chair Always,Science Book Often,1
Chair Always,Science Book Operation,1
Lamp Word,Novel Since,1
Lamp Institution,Biography Rule,1
Lamp Institution,Dictionary Watch,1
Lamp Institution,Biography Evening,1
Dictionary Reality,Novel Continue,1
Comics Near,Comics Summer,1
Comics Near,Dictionary Day,1
Comics Near,Dictionary Baby,1
Dictionary Seek,Novel Such,1
Comics Picture,Novel Continue,1
Dictionary Young,Dictionary Who,1
Biography Staff,Biography Even,1
Biography Staff,Dictionary Order,1
Biography Staff,Novel Responsibility,1
Comics Continue,Novel Action,1
Comics Continue,Biography But,1
Comics Continue,Novel Magazine,1
Novel Push,Science Book Pass,1
Novel Action,Biography But,1
Dictionary To,Novel Score,1
Science Book Word,Novel Also,1
Science Book Word,Novel Score,1
Science Book Word,Comics Wonder,1
Comics Summer,Biography National,1
Comics Summer,Dictionary Baby,1
Comics Summer,Comics Grow,1
Dictionary Step,Dictionary Who,1
Comics Mrs,Comics Drug,1
Comics Say,Biography Student,1
Dictionary Possible,Novel Note,1
Science Book Coach,Science Book Often,1
Science Book Coach,Dictionary Most,1
Novel Fact,Science Book Look,1
Comics Instead,Novel Happen,1
Comics Instead,Biography But,1
Novel Administration,Comics Operation,1
Novel Since,Dictionary Level,1
Novel Score,Novel Huge,1
Science Book Often,Science Book Operation,1
Science Book Often,Dictionary Most,1
Novel Happen,Biography But,1
Comics Team,Dictionary Level,1
Biography Factor,Dictionary Tax,1
Comics Operation,Comics Either,1
Comics Operation,Novel Responsibility,1
Comics Grow,Dictionary Level,1
Science Book Paper,Comics Property,1
Novel Huge,Comics Meet,1
Dictionary Watch,Biography Evening,1
